127.0.0.1 - - [09/Apr/2016:18:29:59 +0200] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:30:10 +0200] "GET /meneamedc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:30:13 +0200] "GET /meneamedc/ HTTP/1.1" 200 17526
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:30:31 +0200] "GET /meneamedc/LoginServlet HTTP/1.1" 200 4181
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:30:34 +0200] "POST /meneamedc/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:30:35 +0200] "GET /meneamedc/auth/Perfil?id=6 HTTP/1.1" 200 4727
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:30:35 +0200] "GET /meneamedc/img/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:30:37 +0200] "GET /meneamedc/auth/EditarPerfilServlet HTTP/1.1" 200 5877
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:30:40 +0200] "GET /meneamedc/auth/BorrarUsuario HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:30:40 +0200] "GET /meneamedc/Noticias HTTP/1.1" 200 13241
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:31:07 +0200] "GET /meneamedc/LoginServlet HTTP/1.1" 200 4181
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:31:09 +0200] "GET /meneamedc/LoginServlet HTTP/1.1" 200 4181
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:31:09 +0200] "GET /meneamedc/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:31:09 +0200] "GET /meneamedc/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:31:09 +0200] "GET /meneamedc/img/logo-top.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:31:09 +0200] "GET /meneamedc/img/fb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:31:09 +0200] "GET /meneamedc/img/elef.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:31:09 +0200] "GET /meneamedc/img/menu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:31:09 +0200] "GET /meneamedc/img/door.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:31:09 +0200] "GET /meneamedc/img/tw.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:31:09 +0200] "GET /meneamedc/img/news.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:31:09 +0200] "GET /meneamedc/img/logo-bottom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:31:12 +0200] "POST /meneamedc/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:31:12 +0200] "GET /meneamedc/auth/Perfil?id=7 HTTP/1.1" 200 4721
