127.0.0.1 - - [06/May/2016:10:48:09 +0200] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [06/May/2016:10:48:18 +0200] "GET /meneamedc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:48:20 +0200] "GET /meneamedc/ HTTP/1.1" 200 9009
0:0:0:0:0:0:0:1 - - [06/May/2016:10:48:20 +0200] "GET /meneamedc/css/lista-noticias.css HTTP/1.1" 200 2122
0:0:0:0:0:0:0:1 - - [06/May/2016:10:48:20 +0200] "GET /meneamedc/css/base.css HTTP/1.1" 200 2297
0:0:0:0:0:0:0:1 - - [06/May/2016:10:48:20 +0200] "GET /meneamedc/img/menu.png HTTP/1.1" 200 2809
0:0:0:0:0:0:0:1 - - [06/May/2016:10:48:20 +0200] "GET /meneamedc/img/logo-top.png HTTP/1.1" 200 3981
0:0:0:0:0:0:0:1 - - [06/May/2016:10:48:21 +0200] "GET /meneamedc/img/elef.png HTTP/1.1" 200 3979
0:0:0:0:0:0:0:1 - - [06/May/2016:10:48:21 +0200] "GET /meneamedc/img/fb.png HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [06/May/2016:10:48:21 +0200] "GET /meneamedc/img/door.png HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [06/May/2016:10:48:21 +0200] "GET /meneamedc/img/tw.png HTTP/1.1" 200 894
0:0:0:0:0:0:0:1 - - [06/May/2016:10:48:21 +0200] "GET /meneamedc/img/logo-bottom.png HTTP/1.1" 200 5222
0:0:0:0:0:0:0:1 - - [06/May/2016:10:48:53 +0200] "GET /meneamedc/LoginServlet HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [06/May/2016:10:48:53 +0200] "GET /meneamedc/css/login.css HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [06/May/2016:10:48:53 +0200] "GET /meneamedc/img/news.png HTTP/1.1" 200 3990
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:01 +0200] "POST /meneamedc/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:01 +0200] "GET /meneamedc/auth/Perfil?id=0 HTTP/1.1" 200 4741
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:01 +0200] "GET /meneamedc/css/ver-perfil.css HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:01 +0200] "GET /meneamedc/img/user.png HTTP/1.1" 200 2897
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:02 +0200] "GET /meneamedc/img/logout.png HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:04 +0200] "GET /meneamedc/auth/Perfil?id=0 HTTP/1.1" 200 4741
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:04 +0200] "GET /meneamedc/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:04 +0200] "GET /meneamedc/css/ver-perfil.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:04 +0200] "GET /meneamedc/img/door.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:04 +0200] "GET /meneamedc/img/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:04 +0200] "GET /meneamedc/img/menu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:04 +0200] "GET /meneamedc/img/logo-top.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:04 +0200] "GET /meneamedc/img/elef.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:04 +0200] "GET /meneamedc/img/fb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:04 +0200] "GET /meneamedc/img/logout.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:04 +0200] "GET /meneamedc/img/tw.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:04 +0200] "GET /meneamedc/img/logo-bottom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:11 +0200] "GET /meneamedc/auth/EditarPerfilServlet HTTP/1.1" 200 6284
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:11 +0200] "GET /meneamedc/css/modificar-perfil.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:11 +0200] "GET /meneamedc/js/camposVacios.js HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:13 +0200] "GET /meneamedc/auth/MisNoticias HTTP/1.1" 200 10497
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:13 +0200] "GET /meneamedc/css/modificar-borrar-noticia.css HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:23 +0200] "GET /meneamedc/auth/ComentarioNoticia?id=0 HTTP/1.1" 200 12937
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:23 +0200] "GET /meneamedc/css/view-comment.css HTTP/1.1" 200 1439
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:23 +0200] "GET /meneamedc/img/like.png HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:32 +0200] "GET /meneamedc/auth/EditarNoticia?id=0 HTTP/1.1" 200 6879
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:32 +0200] "GET /meneamedc/css/registrar-noticia.css HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:49 +0200] "GET /meneamedc/Noticias HTTP/1.1" 200 9456
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:59 +0200] "GET /meneamedc/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:49:59 +0200] "GET /meneamedc/LoginServlet HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:01 +0200] "GET /meneamedc/LoginServlet HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:01 +0200] "GET /meneamedc/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:01 +0200] "GET /meneamedc/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:01 +0200] "GET /meneamedc/img/elef.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:01 +0200] "GET /meneamedc/img/door.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:01 +0200] "GET /meneamedc/img/fb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:01 +0200] "GET /meneamedc/img/menu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:01 +0200] "GET /meneamedc/img/logo-top.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:01 +0200] "GET /meneamedc/img/tw.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:01 +0200] "GET /meneamedc/img/news.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:01 +0200] "GET /meneamedc/img/logo-bottom.png HTTP/1.1" 304 -
